"tconst"	"title"	"release_year"	"release_date"	"MPAA"	"genre"	"runtime"	"poster_url"	"plot_short"	"plot_long"	"imdb_rating"	"num_imdb_votes"	"metacritic"	"num_user_reviews"	"num_critic_reviews"
"tt0010323"	"Das Cabinet des Dr. Caligari"	"1920"	"27 February 1920"	"Not Rated"	"['Fantasy', 'Horror', 'Mystery', 'Thriller']"	"76"	"https://m.media-amazon.com/images/M/MV5BNWJiNGJiMTEtMGM3OC00ZWNlLTgwZTgtMzdhNTRiZjk5MTQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"	"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."	"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. It is the annual fair in Holstenwall. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep. When Alan asks Cesare about his future, Cesare answers that he will die before dawn. The next morning Alan is found dead. Francis suspects Cesare of being the murderer, and starts spying on him and Dr. Caligari. The following night Cesare is going to stab Jane in her bed, but softens when he sees the beautiful woman, and instead of committing another murder, he abducts her. Jane's father awakens because of the noise, and he and some servants follow the fleeing Cesare. When Cesare cannot outrun his pursuers anymore, he gently places Jane down on the ground, and runs away. Francis and the police investigate the caravan of Dr. Caligari, but the ..."	"8.1"	"53527"	""	"227"	"157"
"tt0011237"	"Der Golem, wie er in die Welt kam"	"1920"	"21 February 1921"	"Unrated"	"['Fantasy', 'Horror']"	"76"	"https://m.media-amazon.com/images/M/MV5BMTQ5MTQxMzkxNV5BMl5BanBnXkFtZTgwNTc4MjIyMjE@._V1_.jpg"	"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution."	"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution."	"7.2"	"6233"	""	"50"	"45"
"tt0011841"	"Way Down East"	"1920"	"4 April 1921"	"Passed"	"['Drama', 'Romance']"	"145"	"https://m.media-amazon.com/images/M/MV5BMjI5OTI3NTQ4NV5BMl5BanBnXkFtZTgwNDY3NTAwMjE@._V1_.jpg"	"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock."	"The callous rich, portrayed by Lennox, think only of their own pleasure. Anna is but a poor country girl whom Lennox tricks into a fake wedding. She believes that it is true, but secret, while he has his way with her. When she is pregnant, he leaves her and she must have the baby, named Trust Lennox, on her own. When the baby dies she wanders until she gets a job with Squire Bartlett. David falls for her, but she rejects him due to her past and then Lennox shows up lusting for Kate. Seeing Anna, he tries to get her to leave, but she doesn't, and she tells no one about his past. When Squire Bartlett learns of her past from Martha, the town gossip, he tosses Anna out in a snow storm. But before she goes, she fingers the respected Lennox, as the father of her dead baby and the spoiler of herself."	"7.4"	"4816"	""	"49"	"29"
"tt0011130"	"Dr. Jekyll and Mr. Hyde"	"1920"	"28 September 1920"	"Unrated"	"['Drama', 'Horror', 'Sci-Fi']"	"82"	"https://m.media-amazon.com/images/M/MV5BMzE5YjQ0OTEtZWYxOS00OGEzLTlhYjMtMTNlOTllNGNiNDY1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg"	"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself."	"Based on the Robert Louis Stevenson story: Doctor Henry Jekyll's enthusiasm for science and his selfless acts of service have made him a much-admired man. But as he visits Sir George Carew one evening, his host criticizes him for his reluctance to experience the more sensual side of life. Sir George goads Jekyll into visiting a music hall, where he watches the alluring dancer Gina. Jekyll becomes fascinated with the two contrasting sides of human nature, and he becomes obsessed with the idea of separating them. After extensive work in his laboratory, he devises a formula that does indeed allow him to alternate between two completely different personalities, his own and that of a brutish, lascivious person whom he names Hyde. It is not long before the personality of Hyde begins to dominate Jekyll's affairs."	"7.0"	"4591"	""	"72"	"66"
"tt0011870"	"Within Our Gates"	"1920"	"12 January 1920"	"Not Rated"	"['Drama', 'Romance']"	"79"	"https://m.media-amazon.com/images/M/MV5BOGZhYjk2ZjAtYzU5Ny00YWM0LWEyMWEtNmIwMTE4Yjk0NzkxXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_.jpg"	"Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths."	"Southern negro Sylvia Landry visits her cousin Alma in the north, where there is less racial prejudice than in her home town of Piney Woods in the deep south, and is anxiously awaiting her fiancé, Conrad. But Alma has designs on Conrad and tricks Sylvia into a compromising situation when he arrives, and he abandons her. Disheartened, she returns to Piney Woods to help a reverend running a school for young negroes. Sylvia learns that the reverend hasn't the heart to turn away poor students, and unless he can raise $5,000 to supplement the $1.49 per child per year that the state supplies, the school will be closed. She goes up north again to try to raise the money and has little success, but meets kindly negro, Dr. V. Vivian, who helps her regain her stolen purse. When she saves a child from being hit by an auto, she herself is slightly injured. But the owner of the car is philanthropist Mrs. Elena Warwick, who is sympathetic to her quest and promises to donate the $5,000 to the school...."	"6.3"	"2177"	""	"20"	"13"
"tt0011439"	"The Mark of Zorro"	"1920"	"5 December 1920"	"Passed"	"['Adventure', 'Romance', 'Western']"	"107"	"https://m.media-amazon.com/images/M/MV5BNTliMzlmYmUtYWRmYi00YzJjLWEwZDctZjgxMjFmMmE4ZjRiXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_.jpg"	"A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed."	"In old Spanish California, the oppressive colonial government is opposed by Zorro, masked champion of the people, who appears out of nowhere with flashing sword and an athletic sense of humor, scarring the faces of evildoers with his Mark. Meanwhile, beautiful Lolita is courted by villainous Captain Ramon, rich but effete Don Diego... and dashing Zorro, who is never seen at the same time as Don Diego. As Zorro continues to evade pursuit, Ramon puts the damsel in distress..."	"7.1"	"2071"	""	"36"	"20"
"tt0011565"	"The Penalty"	"1920"	"8 August 1920"	"Passed"	"['Crime', 'Drama', 'Horror', 'Thriller']"	"90"	"https://m.media-amazon.com/images/M/MV5BZDE1MTg5NWUtY2EyMy00YmU0LTkwMTktNzc3NWQwYTY0M2E0XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_.jpg"	"A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs."	"Blizzard, deranged from a childhood operation in which both his legs were perhaps needlessly amputated after an accident, becomes a vicious criminal, and eventually mob leader of the San Francisco underworld. Out for revenge against the surgeon who performed his operation, he undergoes brain surgery which has a chance of altering his anti-social behavior."	"7.4"	"1941"	""	"42"	"41"
"tt0011652"	"The Saphead"	"1920"	"20 September 1920"	"Not Rated"	"Comedy"	"77"	"https://m.media-amazon.com/images/M/MV5BZDNiODA3NzQtNTBmZS00NTM3LWJlOGMtMDg2NzFiNDU2M2M3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg"	"The simple-minded son of a rich financier must find his own way in the world."	"Nick Van Alstyne owns the Henrietta silver mine and is very rich. His son Bertie is naive and spoiled. His daughter Rose is married to shady investor Mark. Mark wrecks Bertie's wedding plans by making him take the blame for Mark's illegitimate daughter. Mark also nearly ruins the family business by selling off Henrietta stock at too low a price. Bertie, of all people, must come to the rescue on the trading floor."	"6.2"	"1366"	""	"21"	"17"
"tt0011865"	"Why Change Your Wife?"	"1920"	"11 April 1921"	"Approved"	"['Comedy', 'Drama']"	"90"	"https://m.media-amazon.com/images/M/MV5BNzU5ZTdlYzYtYWM3Yy00MzU1LWE4YzItZmQ0ZDZmZGNmYTBkXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_.jpg"	"Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to ...
                    See full summary »"	"Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to improve her looks. The original couple falls in love again at a summer resort."	"6.7"	"1308"	""	"23"	"8"
"tt0011387"	"The Last of the Mohicans"	"1920"	"21 November 1920"	"Not Rated"	"['Action', 'Adventure', 'Drama']"	"73"	"https://m.media-amazon.com/images/M/MV5BZmJkZDU2N2ItMGNiYy00MTBmLTliOTYtNDU5NTdmMjEyMDFmXkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_.jpg"	"As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil...
                    See full summary »"	"As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil Magua. Fighting to rescue the women are Chingachgook and his son Uncas, the last of the Mohican tribe, and their white ally, the frontiersman Natty Bumppo, known as Hawkeye."	"6.7"	"1068"	""	"27"	"7"
