"tconst"	"title"	"release_year"	"release_date"	"MPAA"	"genre"	"runtime"	"poster_url"	"plot_short"	"plot_long"	"imdb_rating"	"num_imdb_votes"	"metacritic"	"num_user_reviews"	"num_critic_reviews"
"tt0014429"	"Safety Last!"	"1923"	"1 April 1923"	"Not Rated"	"['Action', 'Comedy', 'Thriller']"	"74"	"https://m.media-amazon.com/images/M/MV5BMjkyOTg2MzE1MV5BMl5BanBnXkFtZTgwMDUzODYwMjE@._V1_.jpg"	"A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures."	"In 1922, the country boy Harold says goodbye to his mother and his girlfriend Mildred in the train station and leaves Great Bend expecting to be successful in the big city. Harold promises to Mildred to get married with her as soon as he ""make good"". Harold shares a room with his friend ""Limpy"" Bill and he finally gets a job as salesman in the De Vore Department Store. However, he pawns Bill's phonograph, buys a lavaliere and writes to Mildred telling that he is a manager of De Vore. One day, Harold sees an old friend from Great Bend that is a policeman and when he meets his friend Bill, he asks Bill to push the policeman over him and make him fall down. However Bill pushes the wrong policeman that chases him, but he escapes climbing up a building. Out of the blue, Mildred is convinced by her mother to visit Harold without previous notice and he pretends to be the manager of De Vore. When Harold overhears the general manager telling that he would give one thousand dollars to to anyone..."	"8.1"	"17167"	""	"85"	"91"
"tt0014341"	"Our Hospitality"	"1923"	"19 November 1923"	"Not Rated"	"['Comedy', 'Romance', 'Thriller']"	"65"	"https://m.media-amazon.com/images/M/MV5BNTNjZjYxMDQtMTViNi00NTg0LWFmZTYtNTdiMzUxZWU3ZTU2XkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_.jpg"	"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family."	"After her husband John McKay is killed in an ongoing feud with the Canfield family, a woman takes her baby boy Willie to her sister's house in New York hoping he will never know of the feud with the Canfields. Twenty years later Willie is a grown man and he receives a letter saying he has inherited his father's estate and must travel to his family home to take possession. On the train there he meets a beautiful young woman and falls in love only to learn that she's a Canfield. He accepts her invitation to dinner and quickly realizes that the Canfield men won't kill him while he's in their home. His plan to stay there as a permanent guest is short-lived and the Canfields are soon after him."	"7.8"	"9573"	""	"52"	"48"
"tt0014142"	"The Hunchback of Notre Dame"	"1923"	"6 September 1923"	"Passed"	"['Drama', 'Horror', 'Romance']"	"133"	"https://m.media-amazon.com/images/M/MV5BMjMyODkyNjc5MF5BMl5BanBnXkFtZTgwODY1NDM4MTE@._V1_.jpg"	"In fifteenth century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with the gypsy queen."	"Clopin bought Esmeralda from the gypsies when she was young. Dancing in the square at the festival, Esmeralda is spotted by Jehan, the evil brother of the good archdeacon Claude Frollo. When he sets Quasimodo out to kidnap Esmeralda, Phoebus, Captain of the Guards, rescues her and captures Quasimodo. The courts sentence Quasimodo to be flogged, and the only one who will give him water while he is tied in the square is Esmeralda. After Clopin forces Esmeralda to leave Phoebus at the ball, she sends a note to Phoebus to meet her at Notre-Dame. In the garden, Phoebus is stabbed in the back by Jehan. Esmeralda is accused of stabbing Phoebus, convicted by the courts and sentenced to hang. When Esmeralda again rejects Jehan, he tells her that Phoebus is dead, even though it is not true. Clopin, Phoebus and Quasimodo all try different ways to save Esmeralda."	"7.3"	"4580"	""	"62"	"53"
"tt0014624"	"A Woman of Paris: A Drama of Fate"	"1923"	"31 December 1923"	"Passed"	"['Drama', 'Romance']"	"82"	"https://m.media-amazon.com/images/M/MV5BZjJiMTU2NGQtNWRkNi00ZjExLWExMTUtMmNkNTU0NzRlMTA3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg"	"A kept woman runs into her former fiancé and finds herself torn between love and comfort."	"Marie St. Clair believes she has been jilted by her artist fiance Jean when he fails to meet her at the railway station. She goes off to Paris alone. A year later, mistress of wealthy Pierre Revel, she meets Jean again. Misinterpreting events she bounces back and forth between apparent security and true love."	"7.0"	"4527"	""	"36"	"24"
"tt0014358"	"The Pilgrim"	"1923"	"22 February 1923"	"TV-G"	"Comedy"	"47"	"https://m.media-amazon.com/images/M/MV5BMmUwYmE5ZGYtNGYyNy00OTMwLWI0ODktYmExMzQ1Zjg4ODA5XkEyXkFqcGdeQXVyMjc1NjE1MzM@._V1_.jpg"	"The Tramp is an escaped convict who is mistaken as a pastor in a small town church."	"When Charlie escapes from prison he dons a preacher's clothes. By mistake he becomes the new minister for the town of Devil's Gulch. Later, discovered as the convict, the sheriff takes Charlie to the Mexican border where he can choose to return, a convict, or face Mexican bandits at war with each other."	"7.4"	"4031"	""	"23"	"15"
"tt0014538"	"Three Ages"	"1923"	"24 September 1923"	"Not Rated"	"Comedy"	"63"	"https://m.media-amazon.com/images/M/MV5BMjI3OTEzODA4NF5BMl5BanBnXkFtZTgwODc0NDIwMjE@._V1_.jpg"	"The misadventures of Buster in three separate historical periods."	"In his first independently produced feature film Buster tells of love and romance through three historical ages: the Stone Age, the Roman Age, and the Modern Age."	"7.1"	"3810"	""	"24"	"36"
"tt0013626"	"La souriante Madame Beudet"	"1923"	"9 November 1923"	""	"Drama"	"38"	"https://m.media-amazon.com/images/M/MV5BZTlkZjU4MWItYjIwMy00ZTJjLThhN2YtNDAzZTU2NGQzYTUwXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_.jpg"	"An unhappily married woman devises a scheme to get rid of her husband."	"One of the first feminist movies, The Smiling Madame Beudet is the story of an intelligent woman trapped in a loveless marriage. Her husband is used to playing a stupid practical joke in which he puts an empty revolver to his head and threatens to shoot himself. One day, while the husband is away, she puts bullets in the revolver. However, she is stricken with remorse and tries to retrieve the bullets the next morning. Her husband gets to the revolver first only this time he points the revolver at her."	"6.7"	"1923"	""	"9"	"7"
"tt0014532"	"The Ten Commandments"	"1923"	"23 November 1923"	"Passed"	"['Biography', 'Drama', 'Fantasy']"	"136"	"https://m.media-amazon.com/images/M/MV5BMTk0MTU2MDAxNF5BMl5BanBnXkFtZTgwMDc4NzE2MjE@._V1_.jpg"	"After hearing the story of Moses, the sons of a devout Christian mother go their own ways, while the atheist brother's breaking of the Ten Commandments leads to tragedy."	"The first part tells the story of Moses leading the Jews from Egypt to the Promised Land, his receipt of the tablets and the worship of the golden calf. The second part shows the efficacy of the commandments in modern life through a story set in San Francisco. Two brothers, rivals for the love of Mary, also come into conflict when John discovers Dan used shoddy materials to construct a cathedral."	"6.8"	"1822"	""	"32"	"10"
"tt0014417"	"La roue"	"1923"	"17 February 1923"	"Not Rated"	"Drama"	"418"	"https://m.media-amazon.com/images/M/MV5BMjAzODE4NTg5MF5BMl5BanBnXkFtZTcwODIzMzg2MQ@@._V1_.jpg"	"Sisif, a railwayman, and his son Elie fall in love with the beautiful Norma (who Sisif rescued from a train crash when a baby and raised as his daughter), with tragic results. Originally ...
                    See full summary »"	"Sisif, a railwayman, and his son Elie fall in love with the beautiful Norma (who Sisif rescued from a train crash when a baby and raised as his daughter), with tragic results. Originally running nine hours, this epic tragedy is notable for the way it foreshadows Gance's later 'Napoleon' in its use of innovative cinematic devices, particularly rapid cutting."	"7.4"	"1739"	""	"17"	"28"
"tt0014611"	"Why Worry?"	"1923"	"9 September 1923"	"TV-G"	"['Adventure', 'Comedy', 'Family', 'Romance']"	"63"	"https://m.media-amazon.com/images/M/MV5BMDUzYjg3OTYtN2ZkZS00ZGJmLWJlMjYtYTI5MTZmMDAwMTY4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg"	"A hypochondriac vacations in the tropics for the fresh air - and finds himself in the middle of a revolution instead."	"Harold Van Pelham (Lloyd) is a hypochondriac, rich businessman who sails to the tropics for his 'health.' Instead of the peace and seclusion he is seeking, he finds himself in the middle of a revolution. He is imprisoned where he befriends the friendly giant, Colosso (Aasen), and they engineer an escape. Together, they quell the revolution."	"7.4"	"1502"	""	"26"	"12"
